Country Name,Country Code,Series Name,Series Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
United States,USA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,..,22.45158608,19.24162602,19.33151521,18.58713204,18.04222128,18.43542408,18.63089824,18.28042804,17.50842848,17.88465336,..
United States,USA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,9.254732068,10.69277691,13.57807437,13.54595934,12.46099316,11.93953873,12.26173812,12.36098922,11.87247011,10.20212574,10.89272668,..
United States,USA,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,10.56031852,14.41021845,16.42429277,16.45204044,15.35124034,14.64746063,15.0174229,15.24939006,14.57947936,13.18163614,14.58867359,..
United States,USA,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,21.52921345,23.6783759,20.34303358,20.7783685,21.20047568,20.5667783,20.81343098,21.20591656,21.31923246,21.05096059,21.10431481,..
United States,USA,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,18.20583236,20.57614574,18.8018464,18.91259579,19.09205998,18.66564488,19.37213844,17.59799598,17.42469511,17.80025544,18.6563207,..
United States,USA,Time required to start a business (days),IC.REG.DURS,..,..,6.2,5.6,5.6,5.6,5.6,5.6,4.2,..,..,..
United States,USA,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,145.6212363,191.592504,230.1884099,232.8663286,227.4711987,232.8879906,242.1039505,229.5313464,242.8003724,280.713405,289.3109383,..
United States,USA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,10.46528476,12.97080036,10.48350933,10.93318083,11.22900841,10.91413748,11.58390417,9.994403994,9.960869832,10.13527017,11.2336202,..
United States,USA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,5.605175294,3.112242147,4.03266107,3.690960761,3.481428215,3.422587975,3.320540912,3.323866404,3.43456772,3.696009828,3.457977219,3.454919798
United States,USA,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2.129545117,38.76720665,97.28308055,100.1748375,102.3083933,103.3702501,103.1297891,104.847944,106.4140195,104.9353748,107.319451,110.1664718
United States,USA,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,..,..,20.1783051,20.46714365,21.38094108,22.411343,19.25881837,18.47405364,18.67265174,19.48384869,19.8938692,..
United States,USA,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,..,..,..,..,..,..,..,..,..,..,..,..
United States,USA,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,15.2701159,19.9124803,23.2061312,22.97961652,20.97038696,19.79750231,20.30436241,20.83568431,19.6932356,18.19459083,20.11408019,21.36846053
United States,USA,Net barter terms of trade index (2015 = 100),TT.PRI.MRCH.XD.WD,102.7027027,100,95.34050179,95.86956522,100,100.0834725,99.594485,99.84264359,100.3187251,100,104.6546547,..
United States,USA,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..
United States,USA,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..,..,..,..,..,..,..,..
United States,USA,Net migration,SM.POP.NETM,1421775,1479676,1320840,1250914,1221849,1449371,1377630,1200796,1158444,675560,561580,..
United States,USA,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,1170000000,4395000000,6613000000,6503000000,6578000000,6330000000,6347000000,6941000000,7049000000,6827000000,7151000000,7431000000
United States,USA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,71230000000,3.49125E+11,2.88131E+11,2.51856E+11,5.11434E+11,4.74388E+11,3.80823E+11,2.14715E+11,3.15984E+11,1.38363E+11,4.93085E+11,3.88078E+11
United States,USA,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,..,..,..,..,..,..,..,..,..,..,..,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 09/19/2023,,,,,,,,,,,,,,,
